klantnummer,datum,pricing_code,member_deal,discount,omzet,categorie
107253,6-6-2026,MBR-FAL-10,Falke 10%,-5.4,183.56,Outdoor
100044,8-6-2026,MBR-FAL-10,Falke 10%,-2.7,204.28,Outdoor
108724,8-6-2026,MBR-FAL-10,Falke 10%,-7.8,180.85,Outdoor
90510,9-6-2026,MBR-FAL-10,Falke 10%,-4.8,40.16,Outdoor
35302,9-6-2026,MBR-FAL-10,Falke 10%,-2.7,84.28,Outdoor
93426,10-6-2026,MBR-FAL-10,Falke 10%,-7.2,363.94,Outdoor
108335,10-6-2026,MBR-FAL-10,Falke 10%,-5.7,131.23,Outdoor
88925,5-6-2026,MBR-CRA-10,Craft 10%,-4.5,75.48,Sport
81912,30-5-2026,MBR-BOC-10,Bo Camp Impregneer 10%,-1.2,50.96,Kamperen
83292,23-5-2026,MBR-BAL-10,Ballen 10%,-0.9,181.05,Sport
108015,25-5-2026,MBR-BAL-10,Ballen 10%,-0.9,130.04,Sport
31108,26-5-2026,MBR-BAL-10,Ballen 10%,-0.9,370,Sport
29309,29-5-2026,MBR-BAL-10,Ballen 10%,-1.15,180.29,Sport
35129,29-5-2026,MBR-BAL-10,Ballen 10%,-1.1,164.87,Sport
109037,29-5-2026,MBR-BAL-10,Ballen 10%,-0.9,3.09,Sport
38760,30-5-2026,MBR-BAL-10,Ballen 10%,-1.1,44.88,Sport
32835,1-6-2026,MBR-BAL-10,Ballen 10%,-0.5,26.99,Sport
104370,4-6-2026,MBR-BAL-10,Ballen 10%,-1.6,51.39,Sport
57686,10-6-2026,MBR-BAL-10,Ballen 10%,-2.55,322.95,Sport
35083,23-5-2026,MBR-GRI-10,Grips 10%,-1.1,229.84,Sport
15468,27-5-2026,MBR-GRI-10,Grips 10%,-3.2,28.77,Sport
62008,27-5-2026,MBR-GRI-10,Grips 10%,-2.05,112.51,Sport
37696,28-5-2026,MBR-GRI-10,Grips 10%,-1.1,35.88,Sport
105954,29-5-2026,MBR-GRI-10,Grips 10%,-1.1,9.89,Sport
15057,29-5-2026,MBR-GRI-10,Grips 10%,-1.1,55.87,Sport
34406,2-6-2026,MBR-GRI-10,Grips 10%,-1.1,113.26,Sport
98231,4-6-2026,MBR-GRI-10,Grips 10%,-2.6,227.35,Sport
15468,10-6-2026,MBR-GRI-10,Grips 10%,-4.2,37.76,Sport
12450,20-5-2026,MBR-HAR-10,Haringen 10%,-1.2,21.12,Kamperen
37566,21-5-2026,MBR-HAR-10,Haringen 10%,-0.6,43.36,Kamperen
86578,22-5-2026,MBR-HAR-10,Haringen 10%,-1.1,138.81,Kamperen
84732,23-5-2026,MBR-HAR-10,Haringen 10%,-1.8,41.15,Kamperen
106947,23-5-2026,MBR-HAR-10,Haringen 10%,-5.1,40.8,Kamperen
102422,25-5-2026,MBR-HAR-10,Haringen 10%,-1.6,31.36,Kamperen
90679,25-5-2026,MBR-HAR-10,Haringen 10%,-0.2,9.9,Kamperen
99104,25-5-2026,MBR-HAR-10,Haringen 10%,-0.5,69.47,Kamperen
107839,25-5-2026,MBR-HAR-10,Haringen 10%,-1,214.98,Kamperen
39243,25-5-2026,MBR-HAR-10,Haringen 10%,-4.4,161.46,Kamperen
29709,25-5-2026,MBR-HAR-10,Haringen 10%,-2,100.94,Kamperen
83577,25-5-2026,MBR-HAR-10,Haringen 10%,-0.25,126.22,Kamperen
101100,25-5-2026,MBR-HAR-10,Haringen 10%,-1.79,60.65,Kamperen
61996,25-5-2026,MBR-HAR-10,Haringen 10%,-0.5,22.48,Kamperen
34816,25-5-2026,MBR-HAR-10,Haringen 10%,-0.6,34.58,Kamperen
108438,26-5-2026,MBR-HAR-10,Haringen 10%,-1.1,9.88,Kamperen
61384,26-5-2026,MBR-HAR-10,Haringen 10%,-0.6,861.78,Kamperen
29872,26-5-2026,MBR-HAR-10,Haringen 10%,-1.5,13.48,Kamperen
109843,26-5-2026,MBR-HAR-10,Haringen 10%,-1,4.97,Kamperen
84445,26-5-2026,MBR-HAR-10,Haringen 10%,-0.7,6.29,Kamperen
107540,26-5-2026,MBR-HAR-10,Haringen 10%,-1.8,47.65,Kamperen
96598,26-5-2026,MBR-HAR-10,Haringen 10%,-0.5,65.39,Kamperen
91999,27-5-2026,MBR-HAR-10,Haringen 10%,-0.5,106.46,Kamperen
40152,27-5-2026,MBR-HAR-10,Haringen 10%,-0.6,10.64,Kamperen
82800,27-5-2026,MBR-HAR-10,Haringen 10%,-1.6,162.74,Kamperen
98444,27-5-2026,MBR-HAR-10,Haringen 10%,-1.1,20.47,Kamperen
80611,27-5-2026,MBR-HAR-10,Haringen 10%,-1.2,165.71,Kamperen
83359,28-5-2026,MBR-HAR-10,Haringen 10%,-1.2,85.72,Kamperen
97660,28-5-2026,MBR-HAR-10,Haringen 10%,-0.6,386.94,Kamperen
62561,28-5-2026,MBR-HAR-10,Haringen 10%,-1,66.44,Kamperen
87551,28-5-2026,MBR-HAR-10,Haringen 10%,-3.6,27.35,Kamperen
36749,28-5-2026,MBR-HAR-10,Haringen 10%,-2.2,115.72,Kamperen
89854,28-5-2026,MBR-HAR-10,Haringen 10%,-6.89,321.85,Kamperen
53214,28-5-2026,MBR-HAR-10,Haringen 10%,-0.9,74.27,Kamperen
13192,29-5-2026,MBR-HAR-10,Haringen 10%,-2,119.79,Kamperen
42564,29-5-2026,MBR-HAR-10,Haringen 10%,-0.8,119.7,Kamperen
76391,29-5-2026,MBR-HAR-10,Haringen 10%,-1.4,28.05,Kamperen
103661,29-5-2026,MBR-HAR-10,Haringen 10%,-1.1,53.81,Kamperen
17030,29-5-2026,MBR-HAR-10,Haringen 10%,-0.5,14.47,Kamperen
104872,29-5-2026,MBR-HAR-10,Haringen 10%,-0.9,22.58,Kamperen
29636,30-5-2026,MBR-HAR-10,Haringen 10%,-2,33.94,Kamperen
18152,30-5-2026,MBR-HAR-10,Haringen 10%,-1.8,21.16,Kamperen
100566,30-5-2026,MBR-HAR-10,Haringen 10%,-1.7,559.19,Kamperen
18177,30-5-2026,MBR-HAR-10,Haringen 10%,-0.97,85,Kamperen
63542,30-5-2026,MBR-HAR-10,Haringen 10%,-1.79,992.41,Kamperen
40976,31-5-2026,MBR-HAR-10,Haringen 10%,-0.8,50.16,Kamperen
109263,31-5-2026,MBR-HAR-10,Haringen 10%,-0.6,262.34,Kamperen
98388,31-5-2026,MBR-HAR-10,Haringen 10%,-4.99,299.9,Kamperen
93627,31-5-2026,MBR-HAR-10,Haringen 10%,-0.9,3.08,Kamperen
84922,31-5-2026,MBR-HAR-10,Haringen 10%,-0.6,124.19,Kamperen
88605,31-5-2026,MBR-HAR-10,Haringen 10%,-1.6,202.09,Kamperen
91013,31-5-2026,MBR-HAR-10,Haringen 10%,-1,211.54,Kamperen
104992,1-6-2026,MBR-HAR-10,Haringen 10%,-1.2,68.84,Kamperen
43847,1-6-2026,MBR-HAR-10,Haringen 10%,-3,178.45,Kamperen
101555,1-6-2026,MBR-HAR-10,Haringen 10%,-2.2,85.77,Kamperen
10357,2-6-2026,MBR-HAR-10,Haringen 10%,-1.1,153.1,Kamperen
103300,2-6-2026,MBR-HAR-10,Haringen 10%,-0.6,353.14,Kamperen
87417,2-6-2026,MBR-HAR-10,Haringen 10%,-1.2,156.29,Kamperen
85417,3-6-2026,MBR-HAR-10,Haringen 10%,-1.2,178.66,Kamperen
94978,3-6-2026,MBR-HAR-10,Haringen 10%,-0.8,216.11,Kamperen
101790,3-6-2026,MBR-HAR-10,Haringen 10%,-0.5,362.79,Kamperen
100643,3-6-2026,MBR-HAR-10,Haringen 10%,-0.5,264.68,Kamperen
38433,4-6-2026,MBR-HAR-10,Haringen 10%,-1.79,37.74,Kamperen
99777,4-6-2026,MBR-HAR-10,Haringen 10%,-0.6,208.51,Kamperen
102441,4-6-2026,MBR-HAR-10,Haringen 10%,-1.2,63.5,Kamperen
32445,5-6-2026,MBR-HAR-10,Haringen 10%,-0.25,40.47,Kamperen
41672,5-6-2026,MBR-HAR-10,Haringen 10%,-0.6,169.19,Kamperen
41102,5-6-2026,MBR-HAR-10,Haringen 10%,-2.08,121.15,Kamperen
80804,5-6-2026,MBR-HAR-10,Haringen 10%,-2,1144.89,Kamperen
40627,5-6-2026,MBR-HAR-10,Haringen 10%,-2.2,30.58,Kamperen
10279,6-6-2026,MBR-HAR-10,Haringen 10%,-1,8.98,Kamperen
61385,6-6-2026,MBR-HAR-10,Haringen 10%,-2.2,19.79,Kamperen
103802,7-6-2026,MBR-HAR-10,Haringen 10%,-0.6,231.68,Kamperen
80991,7-6-2026,MBR-HAR-10,Haringen 10%,-1.35,178.01,Kamperen
101676,7-6-2026,MBR-HAR-10,Haringen 10%,-0.25,493.88,Kamperen
91030,7-6-2026,MBR-HAR-10,Haringen 10%,-2,146.5,Kamperen
93627,7-6-2026,MBR-HAR-10,Haringen 10%,-0.6,35.85,Kamperen
62000,7-6-2026,MBR-HAR-10,Haringen 10%,-0.6,223.1,Kamperen
87895,8-6-2026,MBR-HAR-10,Haringen 10%,-2.2,860.94,Kamperen
83993,8-6-2026,MBR-HAR-10,Haringen 10%,-0.55,15.73,Kamperen
106774,9-6-2026,MBR-HAR-10,Haringen 10%,-1.79,124.37,Kamperen
19661,9-6-2026,MBR-HAR-10,Haringen 10%,-4,35.96,Kamperen
81912,10-6-2026,MBR-HAR-10,Haringen 10%,-0.8,21.65,Kamperen
62280,11-6-2026,MBR-HAR-10,Haringen 10%,-2.2,75.74,Kamperen
87608,11-6-2026,MBR-HAR-10,Haringen 10%,-2.2,343.73,Kamperen
99462,20-5-2026,MBR-MEP-10,Mepal 10%,-1.6,17.48,Kamperen
102283,21-5-2026,MBR-MEP-10,Mepal 10%,-0.7,43.21,Kamperen
92857,22-5-2026,MBR-MEP-10,Mepal 10%,-1.6,281.35,Kamperen
73380,22-5-2026,MBR-MEP-10,Mepal 10%,-2.3,54.87,Kamperen
31121,22-5-2026,MBR-MEP-10,Mepal 10%,-2.5,125.85,Kamperen
89265,23-5-2026,MBR-MEP-10,Mepal 10%,-1.8,73.16,Kamperen
34144,23-5-2026,MBR-MEP-10,Mepal 10%,-0.35,126.09,Kamperen
102184,25-5-2026,MBR-MEP-10,Mepal 10%,-1,81.92,Kamperen
85475,25-5-2026,MBR-MEP-10,Mepal 10%,-9.4,198.66,Kamperen
41481,25-5-2026,MBR-MEP-10,Mepal 10%,-1.6,109.47,Kamperen
85111,25-5-2026,MBR-MEP-10,Mepal 10%,-5.59,45.34,Kamperen
63173,25-5-2026,MBR-MEP-10,Mepal 10%,-3.72,53.88,Kamperen
98279,25-5-2026,MBR-MEP-10,Mepal 10%,-14.6,311.09,Kamperen
64045,25-5-2026,MBR-MEP-10,Mepal 10%,-3.6,432.36,Kamperen
86428,25-5-2026,MBR-MEP-10,Mepal 10%,-2.8,151.69,Kamperen
14148,25-5-2026,MBR-MEP-10,Mepal 10%,-2,104.39,Kamperen
84580,25-5-2026,MBR-MEP-10,Mepal 10%,-2.8,202.59,Kamperen
104825,25-5-2026,MBR-MEP-10,Mepal 10%,-4.4,615.17,Kamperen
38383,27-5-2026,MBR-MEP-10,Mepal 10%,-5,559.53,Kamperen
88638,27-5-2026,MBR-MEP-10,Mepal 10%,-0.8,14.74,Kamperen
109157,27-5-2026,MBR-MEP-10,Mepal 10%,-1.4,7.56,Kamperen
82800,27-5-2026,MBR-MEP-10,Mepal 10%,-2,162.74,Kamperen
38049,29-5-2026,MBR-MEP-10,Mepal 10%,-0.7,265.26,Kamperen
14083,29-5-2026,MBR-MEP-10,Mepal 10%,-1,122.84,Kamperen
42564,29-5-2026,MBR-MEP-10,Mepal 10%,-0.8,119.7,Kamperen
96206,30-5-2026,MBR-MEP-10,Mepal 10%,-0.25,25.22,Kamperen
33864,30-5-2026,MBR-MEP-10,Mepal 10%,-0.4,113.56,Kamperen
93391,30-5-2026,MBR-MEP-10,Mepal 10%,-1.6,123.22,Kamperen
30405,30-5-2026,MBR-MEP-10,Mepal 10%,-1,477.24,Kamperen
43604,30-5-2026,MBR-MEP-10,Mepal 10%,-2.4,1770.79,Kamperen
35536,31-5-2026,MBR-MEP-10,Mepal 10%,-5.8,114.03,Kamperen
84496,31-5-2026,MBR-MEP-10,Mepal 10%,-1.8,58.14,Kamperen
109263,31-5-2026,MBR-MEP-10,Mepal 10%,-1.8,262.34,Kamperen
17119,2-6-2026,MBR-MEP-10,Mepal 10%,-0.9,28.06,Kamperen
87417,2-6-2026,MBR-MEP-10,Mepal 10%,-1.4,156.29,Kamperen
11690,3-6-2026,MBR-MEP-10,Mepal 10%,-2.3,29.45,Kamperen
19774,4-6-2026,MBR-MEP-10,Mepal 10%,-1.6,64.37,Kamperen
19377,4-6-2026,MBR-MEP-10,Mepal 10%,-1,8.99,Kamperen
42631,4-6-2026,MBR-MEP-10,Mepal 10%,-0.45,209.77,Kamperen
11737,5-6-2026,MBR-MEP-10,Mepal 10%,-1.4,14.55,Kamperen
18112,5-6-2026,MBR-MEP-10,Mepal 10%,-3.2,38.53,Kamperen
85417,6-6-2026,MBR-MEP-10,Mepal 10%,-0.8,133.07,Kamperen
29508,6-6-2026,MBR-MEP-10,Mepal 10%,-2.2,49.13,Kamperen
31296,6-6-2026,MBR-MEP-10,Mepal 10%,-3.1,162.74,Kamperen
104132,6-6-2026,MBR-MEP-10,Mepal 10%,-3.2,194.6,Kamperen
106683,7-6-2026,MBR-MEP-10,Mepal 10%,-0.8,295.57,Kamperen
103802,7-6-2026,MBR-MEP-10,Mepal 10%,-3.4,231.68,Kamperen
11957,7-6-2026,MBR-MEP-10,Mepal 10%,-1.1,141.86,Kamperen
101990,7-6-2026,MBR-MEP-10,Mepal 10%,-3,32.41,Kamperen
88511,9-6-2026,MBR-MEP-10,Mepal 10%,-1.4,177.46,Kamperen
79493,9-6-2026,MBR-MEP-10,Mepal 10%,-13.2,248.06,Kamperen
100545,10-6-2026,MBR-MEP-10,Mepal 10%,-5,63.89,Kamperen
95641,10-6-2026,MBR-MEP-10,Mepal 10%,-0.7,279,Kamperen
